rank,ticker,company_name,exchange,country,market_cap_usd,thesis_path,rationale,reason,thesis_data_path
1,LS:A2DSW0,Econocom Group SE Class D,LS,de,227498872.01,,"Extremely cheap clean earnings, buybacks, and limited downside.","Extremely cheap clean earnings, buybacks, and limited downside.",./data/theses/001-LS-A2DSW0.json
2,F:XUPB,GENFIT S.A. ADR/1 EO-25,F,Germany,200590000.0,,Iqirvo royalty ramp gives strong upside with modest downside.,Iqirvo royalty ramp gives strong upside with modest downside.,./data/theses/002-F-XUPB.json
3,RNE1.F,Gaming Realms PLC             R,Frankfurt,de,96467640.0,,Debt-free high-margin licensor still priced like gambling cyclic.,Debt-free high-margin licensor still priced like gambling cyclic.,./data/theses/003-RNE1.F.json
4,MYX:LIIHEN,Lii Hen Industries Bhd.,MYX,my,42411951.11,,Net-cash-backed tariff recovery with large normalization torque.,Net-cash-backed tariff recovery with large normalization torque.,./data/theses/004-MYX-LIIHEN.json
5,SG9.F,Strix Group PLC               R,Frankfurt,de,98760528.0,,Deleveraged controls franchise with buybacks and doubled base target.,Deleveraged controls franchise with buybacks and doubled base target.,./data/theses/005-SG9.F.json
6,STG,Sunlands Technology Group,NYSE,us,42290628.0,,Profitable cash-rich education ADR at distressed valuation.,Profitable cash-rich education ADR at distressed valuation.,./data/theses/006-STG.json
7,TSE:6337,Tesec Corporation,TSE,jp,85947201.99,,Cash-backed tester cycle recovery with strong order inflection.,Cash-backed tester cycle recovery with strong order inflection.,./data/theses/007-TSE-6337.json
8,TLF,"Tandy Leather Factory, Inc.",NasdaqCM,us,19137386.0,,"Cash, inventory, book support, and post-relocation profit recovery.","Cash, inventory, book support, and post-relocation profit recovery.",./data/theses/008-TLF.json
9,WEBJF,WEBJET LTD,OTC Markets OTCPK,us,336574560.0,,High-margin B2B travel marketplace priced like stale OTA.,High-margin B2B travel marketplace priced like stale OTA.,./data/theses/009-WEBJF.json
10,LS:A2E4T7,H&R GmbH & Co. KGaA,LS,de,204334308.81,,Specialty hydrocarbon cash flow at about 3x EBITDA.,Specialty hydrocarbon cash flow at about 3x EBITDA.,./data/theses/010-LS-A2E4T7.json
11,DDI.F,DoubleDown Interactive Co. LtdR,Frankfurt,de,480668352.0,,Cash-rich profitable gaming asset underpins control-transaction upside.,Cash-rich profitable gaming asset underpins control-transaction upside.,./data/theses/011-DDI.F.json
12,SBC,SBC Medical Group Holdings Inco,NasdaqGM,us,304653536.0,,Net-cash aesthetic MSO at very low cash-adjusted earnings.,Net-cash aesthetic MSO at very low cash-adjusted earnings.,./data/theses/012-SBC.json
13,HKEX:1568,Sundart Holdings Ltd.,HKEX,hk,192960679.36,,Cash-rich contractor with earnings rerating and float repair.,Cash-rich contractor with earnings rerating and float repair.,./data/theses/013-HKEX-1568.json
